Estimators:,k-AVG,k-Shape,soft-DBA,soft-MBA
ACSF1,0.3699933500579274,0.3520649359775611,0.2632437006461051,0.4085681577662276
Adiac,0.4774790037196139,0.4822942527247598,0.4974995000252237,0.4868543692677844
ArrowHead,0.270239086514654,0.24132026132956919,0.24857168834684812,0.22275223636411387
BME,0.1614709358491612,0.41082715097089156,0.5780871393289885,0.1848153009262491
Beef,0.22245768782593622,0.16767822552681158,0.1497788176566743,0.2742026215230786
BeetleFly,0.010842530109458536,0.09179528436180669,0.10936673021609224,0.24424694590932058
BirdChicken,0.0489963849927744,-0.017993873818829956,0.12013395464535473,-0.017624006378012393
CBF,0.33949262850245293,0.7870752104320241,0.7777765841442883,0.5683947934715251
Car,0.2010053620148948,0.1948238240863651,0.12802440663546888,0.49507993414684837
Chinatown,0.01667562351685354,0.014621199492563474,0.05215265376300825,0.019623752709754798
ChlorineConcentration,0.0011593684654230137,-5.64868155360389e-05,0.006414401670779358,0.0026955816963011407
Coffee,0.6420825664763679,0.25110571182726094,0.7461889807963462,0.5343696466537273
Computers,-0.001292414241265844,0.054711353304959104,0.047618011148519344,0.06136515004572378
CricketX,0.22610710540239692,0.3498508973589431,0.410034798255146,0.26962878240636984
CricketY,0.2577216988139651,0.2862382160891652,0.4333605200355379,0.4075102870106891
CricketZ,0.23090004477347326,0.34541876766302565,0.46948462592263657,0.3029575460478729
Crop,0.4624883958550055,0.43291449353219214,0.40889159682185333,0.46241777272667156
DiatomSizeReduction,0.9151861212061575,0.825815544293445,0.36268564967359984,0.7136826582910946
DistalPhalanxOutlineAgeGroup,0.2797438897291946,0.3249130219009813,0.3311487156028585,0.3626792181352649
DistalPhalanxOutlineCorrect,-0.0008126088738433438,-0.0008158454298737327,0.0035017604109216006,-0.00030905302480501074
DistalPhalanxTW,0.43189943708679757,0.4853398582590645,0.5005655073312018,0.5260939230561191
ECG200,0.12523259357059555,0.13426741379677126,0.017308587311560594,0.14250470856336908
ECG5000,0.5611445236220609,0.5029759598813036,0.44803855480354976,0.5127477567959371
ECGFiveDays,0.0002503066603904021,0.6947352500683703,0.012843957282493204,0.011003182489523054
EOGHorizontalSignal,0.3686300904753513,0.39105366208090525,0.4126076139601178,0.3440561283150917
EOGVerticalSignal,0.28750117139462955,0.3553446356085855,0.3421619677279866,0.2737099767563798
EthanolLevel,0.004731253093091322,0.005399627679375704,0.0036459175794388054,0.0034983564104097485
FaceAll,0.3613026024205133,0.6287517725528822,0.6601997930437838,0.8235927035853408
FaceFour,0.45286560076385074,0.4696138386503568,0.6947051043903764,0.7260282028484419
FacesUCR,0.32176890836626565,0.6033662749866401,0.6509840993176607,0.8469187197445748
FiftyWords,0.49809322905299924,0.5311178401787822,0.5829219420900247,0.6548810947979778
Fish,0.25548139827325334,0.29492514437438805,0.4760079530045838,0.5280457344936776
FreezerRegularTrain,0.22025126189671243,0.21104243146204577,0.20421454767588967,0.21149109038376077
FreezerSmallTrain,0.22133797603135658,0.21105966145862404,0.2063365620073816,0.21515425661198717
GunPoint,-0.00364728611968521,-0.00364728611968521,-0.00364728611968521,-0.0033580607902055828
GunPointAgeSpan,0.29374768845544297,0.02953516214449962,0.04889217723033376,0.06389367840231495
GunPointMaleVersusFemale,-0.0013997876879644699,0.5894119807169115,0.5590360486782359,0.5444965927465005
GunPointOldVersusYoung,0.22684764270760222,0.023314981225720902,0.02351445205651634,0.030557938145343858
Ham,0.02665932302223118,0.03577974321330209,0.010330108746298057,0.07188178581593571
Haptics,0.07456891967351775,0.09979063278162097,0.06291436361740309,0.12938177741106321
Herring,0.001457050861958739,-0.0011319735734747359,0.005607379243099376,0.0025483174827817426
HouseTwenty,0.05048304045406799,0.04743914740102362,0.04887506882780896,0.20925402836925752
InlineSkate,0.027944757987438954,0.07399141440279786,0.09090750004597482,0.10021692376389765
InsectEPGRegularTrain,0.20574467200046073,0.3770617114779658,0.28599318285902586,0.29154702981972874
InsectEPGSmallTrain,0.23041350937997898,0.31959769373514707,0.3139442630795905,0.3177459189798378
InsectWingbeatSound,0.5353689606210282,0.42764182516590216,0.1551850420016653,0.5542969816088598
ItalyPowerDemand,0.0005345216490067727,0.48166870241975046,0.0005328076163895817,0.0011205596319777335
LargeKitchenAppliances,0.015909736384661886,0.1564533957268491,0.12509805178987446,0.07797248404356337
Lightning2,0.028075997845848803,0.08903802875878286,0.047803548997667644,0.10527825941387736
Lightning7,0.36907931920937004,0.4740550292773942,0.4102381510897089,0.5198725501845917
Mallat,0.8943163898639438,0.9278027461458016,0.8742596106566355,0.8495129294569712
Meat,0.612331672334085,0.49842090900113445,0.46817374284875746,0.6417783664430203
MedicalImages,0.22155256757577577,0.2044908929275248,0.3182395053175135,0.26143456129274817
MiddlePhalanxOutlineAgeGroup,0.39371552061497217,0.39371552061497217,0.3962359255754888,0.3955496052842995
MiddlePhalanxOutlineCorrect,-0.00010092397524351508,4.7756909986090836e-05,0.002943395876757679,7.825195681240901e-05
MiddlePhalanxTW,0.4262506382276055,0.4046344993446428,0.39545757481081295,0.3980240522430987
MoteStrain,0.2969566681151404,0.48706846252523084,0.016978486867699247,0.5092514550240717
OSULeaf,0.21085009631922771,0.3523014747075527,0.21504805017898426,0.29531411477460473
OliveOil,0.43235850550405247,0.5041615859678178,0.5499123405368024,0.5787123162368485
PhalangesOutlinesCorrect,0.009846783788464531,0.009944857769715019,0.004292983779618665,0.0062605631954340555
