Estimators:,k-AVG,k-Shape,soft-DBA,soft-MBA
ACSF1,0.16236805608306584,0.1413629518072289,0.09893066656635273,0.18386115573065057
Adiac,0.25522714146640996,0.242135249452363,0.2471220607045355,0.24309477896734363
ArrowHead,0.2394843975428747,0.17327783999984991,0.17711348159464393,0.15726684217481715
BME,0.12511258045383652,0.32860154456427604,0.49940677966101693,0.16741585318235064
Beef,0.13186290538331202,0.09558447156442793,0.0479957423131819,0.1701418877236274
BeetleFly,0.01499605367008682,0.10230179028132992,0.138801261829653,0.285320197044335
BirdChicken,0.06629834254143646,-0.020460358056265986,0.13993174061433447,-0.022068965517241378
CBF,0.3330001150667059,0.7294196295886899,0.7880488259216499,0.466728909300884
Car,0.12919401817779272,0.11603138525311109,0.07085082792591381,0.36482632882988175
Chinatown,0.04669211569893082,0.0434841354703646,0.11915662460822442,0.05367902378851023
ChlorineConcentration,0.0009297143463991442,-0.0025325237047164654,0.0027789602426969576,0.00415682657246037
Coffee,0.6688456906932737,0.31421053075476313,0.7934612075509895,0.6103468924742972
Computers,-0.0015455777767784296,0.06186223258652794,0.05220468695919627,0.04713282031976793
CricketX,0.10091180874988308,0.1788979268325024,0.19602514485883393,0.12094179361666438
CricketY,0.11159243468323543,0.15416139851536514,0.25531035900707405,0.22250898515328432
CricketZ,0.12213942097518167,0.18117828127913124,0.2635376715203738,0.14530143372003557
Crop,0.2659659461247883,0.24061444489938216,0.2298403664199156,0.26251881159499285
DiatomSizeReduction,0.9373349179034821,0.8247996181324061,0.1518308256589323,0.6619057040219999
DistalPhalanxOutlineAgeGroup,0.20654787941455882,0.4422271061099684,0.1964436726304391,0.41014389525562667
DistalPhalanxOutlineCorrect,-0.001064835869477384,-0.0010373841981617083,0.0015508826240206131,-0.0008105038552721201
DistalPhalanxTW,0.3351105297031133,0.43361867039208196,0.3183131784493001,0.44946169605992176
ECG200,0.21935545792004507,0.22616241514785917,0.062035385155424866,0.24136629157981251
ECG5000,0.7209788479587989,0.5216698146503351,0.4091746237687812,0.509742436763476
ECGFiveDays,0.00034732532830319035,0.7349539825655473,0.017333431169994067,0.013362089458126766
EOGHorizontalSignal,0.19373007646240176,0.22359281422386107,0.2526058561609459,0.2004697864916517
EOGVerticalSignal,0.13420083584533687,0.19800973108138667,0.1952768612784834,0.15016621425757637
EthanolLevel,0.003435357116775236,0.003792314404668711,0.002674022174728128,0.001435806848177436
FaceAll,0.22847998511121428,0.4897108614063164,0.5176292861428904,0.6964542902121028
FaceFour,0.3701600180677658,0.3558042887879687,0.7044049075083361,0.5885870553730911
FacesUCR,0.16100494706967639,0.4345881138178012,0.4804631106855733,0.7229295728071795
FiftyWords,0.27317210284261156,0.31697844592656044,0.44357878785781224,0.4391163648932611
Fish,0.14392194396704402,0.17667997431530752,0.3896737750971189,0.42835379400971535
FreezerRegularTrain,0.28849034971768184,0.2771372098125141,0.26946351786087563,0.27854343813986154
FreezerSmallTrain,0.28980964394165815,0.27721972861277694,0.27211638203056804,0.283109129610586
GunPoint,-0.005050505050505051,-0.005050505050505051,-0.005050505050505051,-0.004646455259686344
GunPointAgeSpan,0.2564975021015511,0.0386860635315802,0.06085706029342836,0.07743595051820557
GunPointMaleVersusFemale,-0.0005237911099590341,0.6048177910486956,0.5640158745912447,0.5441468139537151
GunPointOldVersusYoung,0.17753987775270733,0.03338112387295128,0.03338185044090434,0.042251376832214645
Ham,0.03782572242592081,0.05016413011868766,0.01506302627976259,0.06463677859919743
Haptics,0.054241037006469206,0.07926642691701993,0.05194624287283828,0.11584557021137849
Herring,0.007470600203532743,-0.0014566162726506735,0.008129068506628465,0.011138401449824833
HouseTwenty,0.0673188804886597,0.07391887029284033,0.02106938679552047,0.28123750809363346
InlineSkate,0.011853235828600693,0.034491119585348416,0.03160302305999125,0.04656101949208713
InsectEPGRegularTrain,0.20471854048717925,0.3682222441485182,0.31883824535233346,0.2925289571065458
InsectEPGSmallTrain,0.21587571453230764,0.31344972443053903,0.33671871430567357,0.30742493325265347
InsectWingbeatSound,0.36054355328567333,0.24513790233959357,0.0598099580764807,0.39667684213097104
ItalyPowerDemand,0.00030423178564766067,0.5593729032286355,0.0004155182525491138,0.0007551697414271417
LargeKitchenAppliances,0.008074977661815518,0.16368036919341306,0.128118531964228,0.07677554746908845
Lightning2,0.06155170361417099,0.06478870668966209,0.02584493041749503,0.16585361384800723
Lightning7,0.2508405774579407,0.30990151645721414,0.3061591366615701,0.3720394748151534
Mallat,0.7894521354895664,0.8298375887794857,0.7680270961034683,0.6993062710115676
Meat,0.43586380916017864,0.41973488940264303,0.377341686317771,0.6393641435154953
MedicalImages,0.04459337480113737,0.08127887900349703,0.07925191636733549,0.07040657003929085
MiddlePhalanxOutlineAgeGroup,0.4255550457206262,0.4255550457206262,0.24095128419887213,0.4270492618690312
MiddlePhalanxOutlineCorrect,-0.0035521567348166445,-0.003736340033088139,-0.005204536676883815,-0.003661254351259693
MiddlePhalanxTW,0.5836433181320178,0.34513371163144047,0.3369755407398709,0.33246050224628326
MoteStrain,0.3852179024185003,0.5932208060861968,0.025752663061908772,0.6177494403316502
OSULeaf,0.15354780096874682,0.27526746859238943,0.1404325776057038,0.1860621578835521
OliveOil,0.2698523542091088,0.5280179802674184,0.5410538008895261,0.6105925297342438
PhalangesOutlinesCorrect,0.010542697394235098,0.010703690444678166,0.0075846549167626,0.008486516434620546
Plane,0.8102466808930917,0.6023739951411382,0.819725766633949,0.8045521548239845
PowerCons,0.024128562321740175,0.0003899924691109413,0.02165030243120694,0.45787279885757676
ProximalPhalanxOutlineAgeGroup,0.35231145669649877,0.35231145669649877,0.5395378133338801,0.3523801059709488
ProximalPhalanxOutlineCorrect,0.06600264149508395,0.06600264149508395,0.05324138493274413,0.06378558944253564
ProximalPhalanxTW,0.32768275654610646,0.4251255606571416,0.6660954216187035,0.6678042571692441
Rock,0.17366618263507444,0.3042907670886481,0.13928451700072128,0.3248633829020948
ScreenType,0.016947759339753607,0.010671178813023563,0.03490393492022628,0.02611153283391588
ShapesAll,0.3826290687176748,0.3927011765898849,0.27277336299509397,0.4252293246606342
SmoothSubspace,0.3667886076442464,0.06287808490852453,0.25313622420071835,0.29693243678289416
SonyAIBORobotSurface1,0.15959200264728626,0.5125643490903039,0.7307208027416797,0.5359877454590322
SonyAIBORobotSurface2,0.3204888129625115,0.17191897090583938,0.10564408733923021,0.29746774522332037
StarLightCurves,0.5200142580368999,0.5121491857933996,0.5930808882876596,0.5191499963220346
Strawberry,-0.019398783006872176,-0.019398783006872176,-0.03436183493116918,-0.016834544473978114
SwedishLeaf,0.29539696904760815,0.30616001660150466,0.2680471957436655,0.45401462269929793
Symbols,0.62496112923924,0.6980835468849068,0.7717583979974678,0.7470045308216996
SyntheticControl,0.6317572837552382,0.5332693346059807,0.764175535036582,0.6161463654440738
ToeSegmentation1,-0.00285586845155945,-0.00312968928361031,0.005755570323379057,0.0007808615352488121
ToeSegmentation2,-0.0018316409646079697,0.31212528501263687,-0.013734751351229637,-0.001271794662041339
Trace,0.41152378750392177,0.3950013265860005,0.6644893035518995,0.422186959540645
TwoLeadECG,0.0038819037359124984,0.10733960798396604,0.12375782269121263,0.10732531011182164
UMD,0.15015078036965662,0.06973324343723487,0.22652000622114746,0.1918846794171549
UWaveGestureLibraryX,0.35072741361694526,0.38226946313372884,0.4466291888063621,0.38164672590605164
UWaveGestureLibraryY,0.33776949754404756,0.27039033393199385,0.2877308171510292,0.3536148909733342
UWaveGestureLibraryZ,0.29907417195774166,0.33557918382673546,0.37927574810953874,0.34070234684725
Wafer,0.0036051616666677266,0.012882114573055293,-5.0673605137775244e-05,0.0013555267084958747
Wine,-0.005187919471714703,-0.005187919471714703,-0.005187919471714703,-0.005468073171241343
WordSynonyms,0.17471080702363243,0.2568357558722577,0.28264444318417703,0.3276129382246079
Worms,0.012512597049451691,0.03893525339221666,0.10426545554324766,0.08870015628676207
WormsTwoClass,0.006304711847841324,-0.0028578709478253236,-0.0025326943230862507,0.001704220409103907
Yoga,-0.001505764074912326,0.00012165221937282994,0.023361481989658688,-0.0005752449935802964
