Estimators:,soft-DBA,soft-DBA2,soft-MBA,soft-MBA2
ACSF1,0.45,0.45,0.4699999999999999,0.5599999999999999
Adiac,0.48288442038442037,0.47072743322743327,0.523575336075336,0.5570183945183945
ArrowHead,0.5077021237808769,0.5139914319569775,0.6213654179199709,0.5725093428128702
BME,0.8133333333333334,0.8133333333333334,0.64,0.64
Beef,0.5,0.5,0.5,0.5
BeetleFly,0.8,0.8,0.85,0.9
BirdChicken,0.6,0.6,0.65,0.6
CBF,0.9688886913492452,0.9688886913492452,0.8744119491730497,0.8588483438770118
Car,0.6145170618854829,0.5966599190283401,0.6631723539618276,0.789545980335454
Chinatown,0.9698795180722892,0.9698795180722892,0.9718875502008032,0.9819277108433735
ChlorineConcentration,0.36314591754340103,0.3633089167284051,0.3560526509140618,0.3614491578250972
CinCECGTorso,0.3955550107151938,0.39483037303403434,0.5208909659537783,0.5011542424532197
Coffee,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
Computers,0.608,0.608,0.64,0.668
CricketX,0.5869136134344023,0.5869136134344023,0.4726633190979755,0.4269496404139399
CricketY,0.5569163382335085,0.5569163382335085,0.49782687859370284,0.48325566350956084
CricketZ,0.5901364385535878,0.5901364385535878,0.4535487613210603,0.4089780542503532
Crop,0.43154761904761907,0.4314285714285715,0.4795238095238095,0.47613095238095243
DiatomSizeReduction,0.9256931012250161,0.9256931012250161,0.9238394584139265,0.9207769181173436
DistalPhalanxOutlineAgeGroup,0.7270751847023034,0.7270751847023034,0.7553237722729249,0.7605968419527742
DistalPhalanxOutlineCorrect,0.7043478260869565,0.7,0.5919254658385094,0.6478260869565218
DistalPhalanxTW,0.49752586594691856,0.49752586594691856,0.5391925326135852,0.5241040635777477
ECG200,0.7621527777777778,0.7621527777777778,0.7135416666666667,0.7135416666666667
ECG5000,0.46391283544574147,0.46391283544574147,0.5622016052487782,0.5591062354113605
ECGFiveDays,0.6431627851762319,0.6419945608771664,0.8170798169692,0.7905344154022145
EOGHorizontalSignal,0.35982264244221973,0.357134470399209,0.460681621554814,0.4088060808305525
EOGVerticalSignal,0.3812229637869237,0.3840007415647015,0.32765418366085775,0.31125633419849214
Earthquakes,0.635576923076923,0.635576923076923,0.6357142857142857,0.6497252747252746
ElectricDevices,0.43129746581673445,0.4303770623750945,0.5142068541603304,0.4766557031560866
EthanolLevel,0.2649449564772145,0.2532642089093702,0.2876984126984127,0.3439900153609831
FaceAll,0.8212642841758839,0.8212642841758839,0.9163457483572522,0.8581503382042668
FaceFour,0.8435314685314685,0.8435314685314685,0.9519230769230769,0.9807692307692308
FacesUCR,0.771447860300272,0.771447860300272,0.9170680161494459,0.9233978688328198
FiftyWords,0.6103263881801034,0.6041359119896272,0.7255983384176882,0.7412850627700471
Fish,0.7087788156014757,0.6843632311858913,0.6612886784807966,0.8180998230013008
FordA,0.5205338738254293,0.5213163464388879,0.6146477494433069,0.598002109573742
FordB,0.5881780877878653,0.5881780877878653,0.6316177770732094,0.6266058569956526
FreezerRegularTrain,0.7642105263157895,0.763859649122807,0.7670175438596492,0.7663157894736843
FreezerSmallTrain,0.7684210526315789,0.7687719298245614,0.7596491228070175,0.7592982456140351
