Estimators:,soft-DBA,soft-DBA2,soft-MBA,soft-MBA2
ACSF1,0.45,0.45,0.47,0.56
Adiac,0.4961636828644501,0.48081841432225064,0.5473145780051151,0.5754475703324808
ArrowHead,0.5142857142857142,0.52,0.6228571428571429,0.5771428571428572
BME,0.8133333333333334,0.8133333333333334,0.64,0.64
Beef,0.5,0.5,0.5,0.5
BeetleFly,0.8,0.8,0.85,0.9
BirdChicken,0.6,0.6,0.65,0.6
CBF,0.9688888888888889,0.9688888888888889,0.8744444444444445,0.8588888888888889
Car,0.6166666666666667,0.6,0.65,0.7666666666666667
Chinatown,0.956268221574344,0.956268221574344,0.9591836734693877,0.9737609329446064
ChlorineConcentration,0.31692708333333336,0.3171875,0.33255208333333336,0.32734375
CinCECGTorso,0.39492753623188404,0.39420289855072466,0.5202898550724637,0.5007246376811594
Coffee,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143
Computers,0.608,0.608,0.64,0.668
CricketX,0.5871794871794872,0.5871794871794872,0.47692307692307695,0.4256410256410256
CricketY,0.5512820512820513,0.5512820512820513,0.49230769230769234,0.47692307692307695
CricketZ,0.6025641025641025,0.6025641025641025,0.4564102564102564,0.41025641025641024
Crop,0.43154761904761907,0.43142857142857144,0.4795238095238095,0.4761309523809524
DiatomSizeReduction,0.9509803921568627,0.9509803921568627,0.9607843137254902,0.9509803921568627
DistalPhalanxOutlineAgeGroup,0.697841726618705,0.697841726618705,0.7338129496402878,0.7194244604316546
DistalPhalanxOutlineCorrect,0.7318840579710145,0.7282608695652174,0.605072463768116,0.6702898550724637
DistalPhalanxTW,0.5971223021582733,0.5971223021582733,0.5971223021582733,0.6258992805755396
ECG200,0.75,0.75,0.75,0.75
ECG5000,0.8386666666666667,0.8386666666666667,0.8686666666666667,0.8693333333333333
ECGFiveDays,0.6434378629500581,0.6422764227642277,0.8164924506387921,0.7897793263646922
EOGHorizontalSignal,0.35911602209944754,0.356353591160221,0.4613259668508287,0.4088397790055249
EOGVerticalSignal,0.3812154696132597,0.3839779005524862,0.3287292817679558,0.31215469613259667
Earthquakes,0.5539568345323741,0.5539568345323741,0.5683453237410072,0.5467625899280576
ElectricDevices,0.5376734535079756,0.5368953443133186,0.589417714952665,0.5481779276358449
EthanolLevel,0.266,0.254,0.288,0.344
